Rank,NCT_Number,Title,Recruitment,Study Results,Conditions,Interventions,Sponsor_Collaborators,Gender,Age Groups,Phases,Enrollment,Funded Bys,Study Types,Study Designs,Other IDs,First Received,Start Date,Completion Date,Last Updated,Last Verified,Results First Received,Acronym,Primary Completion Date,Outcome Measures,URL
946,NCT02718794,Simulation-based and Problem-based Learning for Difficult Airway Management,Recruiting,No Results Available,Education,Procedure: Simulation training|Procedure: Problem-based learning,Siriraj Hospital,Both,Adult,,36,Other,Interventional,"Allocation: Randomized|Intervention Model: Crossover Assignment|Primary Purpose: Health Services Research|Masking: Double Blind (Subject, Investigator, Outcomes Assessor)",233/2558(EC4),"March 16, 2016",Aug-15,Jun-16,"March 23, 2016",Mar-16,No Study Results Posted,null,May-16,Learning achievement,https://ClinicalTrials.gov/show/NCT02718794
947,NCT02718781,Community Health Campaign: Fitter Families Project,Recruiting,No Results Available,Health Behavior,Behavioral: Health talk|Behavioral: Regular contact with community leaders|Device: Handgrip,The University of Hong Kong,Both,Child|Adult|Senior,,900,Other,Interventional,Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Prevention|Masking: Open Label,UW15-401,"March 10, 2016",Sep-15,Jun-17,"March 20, 2016",Mar-16,No Study Results Posted,null,Dec-16,Changes in family harmony from baseline to 3 months after intervention|Changes in family happiness from baseline to 3 months after intervention|Changes in family health from baseline to 3 months after intervention|Changes in knowledge on zero-time exercise from baseline to 3 months after intervention|Changes in attitude towards performing zero-time exercise from baseline to 3 months after intervention|Changes in intention at performing zero-time exercise from baseline to 3 months after intervention|Changes in the frequency and amount on performing exercise from baseline to 3 months after intervention|Changes in neighborhood cohesion from baseline to 3 months after intervention|Changes in utilization of community resources from baseline to 3 months after intervention|Changes in grip strength (kg) from baseline to 3 months after intervention|Changes in chair stand (times) from baseline to 3 months after intervention|Changes in single leg stand (s) from baseline to 3 months after intervention|Changes in seat and reach (cm) from baseline to 3 months after intervention|Changes in body fat (%) from baseline to 3 months after intervention|Changes in body weight (kg) from baseline to 3 months after intervention|Satisfaction towards the program,https://ClinicalTrials.gov/show/NCT02718781
948,NCT02718729,Anastomotic Leakage Following Laparoscopic Resection for Rectal Cancer,Recruiting,No Results Available,Anastomotic Leakage,Procedure: Laparoscopic resection for rectal cancer,Mansoura University|University of Rome Tor Vergata,Both,Child|Adult|Senior,,100,Other,Interventional,Intervention Model: Single Group Assignment|Masking: Open Label,MD 84,"March 12, 2016",Jan-14,Jan-17,"March 31, 2016",Mar-16,No Study Results Posted,null,May-16,Incidence of anastomotic leakage|Role of diversion in prevention of anastomotic leakage.|Management of anastomotic leakage|Oncological outcomes of anastomotic leakage|30 days postoperative morbidity and mortality,https://ClinicalTrials.gov/show/NCT02718729
949,NCT02718716,"Study to Evaluate Safety, Tolerability and Efficacy of UCB7665 in Subjects With Primary Immune Thrombocytopenia",Recruiting,No Results Available,Thrombocytopenia,Drug: UCB7665,UCB Biopharma S.P.R.L.|Parexel|UCB Pharma,Both,Adult|Senior,Phase 2,30,Industry,Interventional,Allocation: Randomized|Endpoint Classification: Safety Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label,TP0001,"March 11, 2016",Mar-16,Jun-17,"April 25, 2016",Apr-16,No Study Results Posted,null,Jun-17,Subjects experiencing at least one Treatment Emergent Event (TEAE) during the study,https://ClinicalTrials.gov/show/NCT02718716
950,NCT02718664,Food-effect Study on Uracil and Dihydrouracil Levels as a Diagnostic Marker of Dihydropyrimidine Dehydrogenase Activity,Recruiting,No Results Available,Drug Safety Biomarkers,Other: Test meal (breakfast),The Netherlands Cancer Institute,Both,Adult|Senior,,16,Other,Interventional,Allocation: Randomized|Intervention Model: Crossover Assignment|Primary Purpose: Treatment|Masking: Open Label,N16URA,"February 24, 2016",Apr-16,Dec-16,"April 4, 2016",Apr-16,No Study Results Posted,null,Dec-16,"Uracil levels (ng/ml) and dihydrouracil levels (ng/ml), compared in fed and fasting condition|dihydropyrimidine dehydrogenase enzyme activity (nmol/mg*h)",https://ClinicalTrials.gov/show/NCT02718664
951,NCT02718651,Blood-based Identification and Monitoring of Patients With ALK-translocated Lung Cancer,Recruiting,No Results Available,"Carcinoma, Non-Small-Cell Lung",,University of Aarhus|Aarhus University Hospital|Aalborg Universitetshospital|Odense University Hospital|Herning Hospital,Both,Adult|Senior,,70,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,2015-1881-2|1-10-72-266-15|1-16-02-56-16,"March 18, 2016",Mar-16,Dec-18,"March 18, 2016",Mar-16,No Study Results Posted,null,Dec-18,Progression-free survival,https://ClinicalTrials.gov/show/NCT02718651
952,NCT02718599,Effect of Terlipressin Infusion on Systemic and Hepatic Hemodynamics During Hepatobiliary Surgery,Recruiting,No Results Available,"Hemodynamics, Liver, Terlipressin",Drug: terlipressin|Drug: normal saline,Assiut University,Both,Adult|Senior,Phase 2,50,Other,Interventional,"Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject, Investigator)",ABC-123-DE,"March 19, 2016",Dec-15,Dec-17,"March 25, 2016",Mar-16,No Study Results Posted,null,Dec-17,portal pressure changes|Effect on systemic vascular resistance|Renal impairment|Blood units transfused,https://ClinicalTrials.gov/show/NCT02718599
953,NCT02718560,Handwriting Rehabilitation in Parkinson Disease,Recruiting,No Results Available,Parkinson Disease|Neurorehabilitation|Handwriting,Behavioral: Writing,Ospedale Generale Di Zona Moriggia-Pelascini,Both,Adult|Senior,,180,Other,Interventional,"Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Investigator, Outcomes Assessor)",Handwriting rehab in PD,"March 15, 2016",Sep-15,Sep-16,"March 29, 2016",Mar-16,No Study Results Posted,HRPD,Jul-16,"letters size|writing speed (time spent to write every single letter and word, measured in milliseconds)|centimeters away from a straight line during writing",https://ClinicalTrials.gov/show/NCT02718560
954,NCT02718508,An e-Parenting Skills Intervention to Decrease Injured Adolescents' Alcohol Use,Recruiting,No Results Available,Parenting|Alcohol Drinking,Behavioral: eParenting,"Michael J. Mello, MD, MPH|Connecticut Children's Medical Center|Children's Hospital of Pittsburgh|Rhode Island Hospital",Both,Child,,75,Other,Interventional,Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label,1R21AA024185-01,"March 2, 2016",Sep-15,Aug-17,"March 23, 2016",Mar-16,No Study Results Posted,e-Parenting,Mar-17,Feasibility of an e-Parenting Skills Intervention as assessed by Parenting Wisely usage data.|Acceptability of an e-Parenting Skills Intervention as assessed by Systems Usability Scale (SUS).|Acceptability of an e-Parenting Skills Intervention as assessed Consumer Satisfaction Questionnaire (CSQ).|Effects on Alcohol Use as assessed by Adolescent Drug Questionnaire (ADQ).|Effects on Drug use as assessed by Drug Use Questionnaire (DUQ).|Effects on Alcohol and Drug Related Problems as assessed by Add Health measures.,https://ClinicalTrials.gov/show/NCT02718508
955,NCT02718495,"Study Assessing PTI-428 Safety, Tolerability, and Pharmacokinetics in Subjects With Cystic Fibrosis",Recruiting,No Results Available,Cystic Fibrosis,Drug: PTI-428|Drug: Placebo,"Proteostasis Therapeutics, Inc.",Both,Adult,Phase 1,36,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject, Caregiver, Investigator, Outcomes Assessor)",PTI-428-01,"March 10, 2016",Mar-16,Mar-17,"March 29, 2016",Mar-16,No Study Results Posted,null,Dec-16,"SAD: Safety and tolerability measured by number of subjects who experience adverse events and potential clinically significant changes in safety labs, electrocardiograms (ECGs), physical examinations, and vital signs.|MAD: Safety and tolerability measured by number of subjects who experience adverse events and potential clinically significant changes in pulmonary function tests, safety labs, ECGs, physical examinations, and vital signs.|SAD: Apparent terminal half-life (t1/2) of single oral dose|SAD: Time to reach maximum plasma concentration (Tmax) of single oral dose|SAD: Maximum plasma concentration (Cmax) of single oral dose|SAD: Area under the concentration-time curve from time 0 to time of last measurable concentration (AUC0-t) of single oral dose|MAD: Apparent terminal half-life (t1/2) of multiple oral doses|MAD: Time to reach maximum plasma concentration (Tmax) of multiple oral doses|MAD: Maximum plasma concentration (Cmax) of multiple oral doses|MAD: Area under the concentration-time curve from time 0 to time of last measurable concentration (AUC0-t) of multiple oral doses|MAD: Area under the concentration-time curve from time 0 to infinity (AUC0-‰ö_) of multiple oral doses",https://ClinicalTrials.gov/show/NCT02718495
956,NCT02718469,Trial to Evaluate Safety and Immunogenicity of an Ebola Zaire Vaccine in Healthy Adults,Recruiting,No Results Available,Ebola Virus Disease,Biological: Ebola Vaccine - low dose|Biological: Ebola Vaccine - mid dose|Biological: Ebola Vaccine - high dose|Biological: Placebo,"Profectus BioSciences, Inc.|Accelovance|United States Department of Defense",Both,Adult,Phase 1,39,Industry|U.S. Fed,Interventional,"Allocation: Randomized|Endpoint Classification: Safety Study|Intervention Model: Parallel Assignment|Primary Purpose: Prevention|Masking: Double Blind (Subject, Caregiver, Investigator)",rVSV-EBOV-01,"March 9, 2016",Jan-16,Nov-16,"March 18, 2016",Mar-16,No Study Results Posted,null,Nov-16,Incidence of Treatment Emergent Adverse Events (Safety and Tolerability),https://ClinicalTrials.gov/show/NCT02718469
957,NCT02718456,Overcoming Barriers to HIV/AIDS Care and ART Initiation,Recruiting,No Results Available,Engagement in HIV Care,Behavioral: Expedited CD4 testing|Behavioral: Supplemental peer counseling,University of Washington,Both,Adult|Senior,,450,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Primary Purpose: Health Services Research|Masking: Open Label,41427-EJ,"March 11, 2016",Aug-13,Oct-17,"March 23, 2016",Mar-16,No Study Results Posted,LINC,Oct-17,Number of days from study enrollment until first visit to a comprehensive care center for HIV care.|Number of days from study enrollment until initiation of antiretroviral therapy.|Interviewer-administered questionnaire to determine the number of visits made to a comprehensive care center for HIV care.|Measurement of CD4+ T-cell count.,https://ClinicalTrials.gov/show/NCT02718456
958,NCT02718430,VXM01 Phase I Study in Patients With Metastatic Colorectal Cancer With Liver Metastasis,Recruiting,No Results Available,Colorectal Cancer,Drug: VXM01,Vaximm GmbH,Both,Adult|Senior,Phase 1,24,Industry,Interventional,Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label,VXM01-03-DE,"March 16, 2016",Feb-16,Mar-18,"March 18, 2016",Mar-16,No Study Results Posted,null,Mar-18,Safety and tolerability taking into account treatment-limiting toxicities (TLTs)|Immune Response by Enzme Linked Immuno Spot (ELISpot)|Immune biomarker by tumor tissue immunohistochemistry staining|Tumor vasculature by tumor tissue immunohistochemistry staining|Serum biomarker Response by Enzyme Linked Immuno Sorbent Assay (ELISA)|Clinical Response including tumor staging according to the response criteria in solid tumors (RECIST)|Biodistribution and shedding of VXM01,https://ClinicalTrials.gov/show/NCT02718430
959,NCT02718404,3 Tesla Magnetic Resonance Guided High Intensity Focused Ultrasound in the Treatment of Pain From Bone Metastases of Solid Tumors,Recruiting,No Results Available,Solid Tumors,Procedure: MR-HIFU Treatment|Drug: MR contrast media and medications|Procedure: MR images,Istituto Scientifico Romagnolo per lo Studio e la cura dei Tumori,Both,Adult|Senior,,41,Other,Interventional,Endpoint Classification: Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label,IRST198.01,"January 21, 2016",Jul-15,Jul-18,"April 7, 2016",Apr-16,No Study Results Posted,HIFU-Bone,Jul-18,Pain response|Time to pain palliation|Time to pain progression|Duration of pain palliation|Recording of pain medication|Quality of Life|Local Tumor Control|Side effects|reduction/increase of tumor markers|identification of the brain regions involved in oncological pain,https://ClinicalTrials.gov/show/NCT02718404
960,NCT02718391,Complementary Vaccination With Dendritic Cells Pulsed With Autologous Tumor Lysate in Resected Stage III and IV Melanoma Patients.,Recruiting,No Results Available,Malignant Melanoma|Adjuvant Drug Therapy|Vaccin Therapy,Biological: Autologous Dendritic Cell vaccine,Istituto Scientifico Romagnolo per lo Studio e la cura dei Tumori,Both,Adult|Senior,Phase 2,120,Other,Interventional,Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label,IRST172.04|2014-005123-27,"January 21, 2016",Aug-15,Aug-18,"April 7, 2016",Apr-16,No Study Results Posted,ACDC,Aug-18,Relapse-free survival (RFS)|Overall survival (OS)|Immunologic efficacy will be measured by best delayed-type hypersensitivity score (reactivity to lysate or KLH) obtained after at least 4 vaccine doses,https://ClinicalTrials.gov/show/NCT02718391
961,NCT02718378,Evaluation of Safety and Efficacy of Estetrol in Healthy Men,Recruiting,No Results Available,Prostatic Neoplasms,Drug: estetrol|Drug: placebo,Pantarhei Oncology B.V.,Male,Adult|Senior,Phase 1,30,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Primary Purpose: Basic Science|Masking: Double Blind (Subject, Investigator, Outcomes Assessor)",PR3107,"February 18, 2016",Mar-16,null,"March 18, 2016",Mar-16,No Study Results Posted,null,Jul-16,Number of participants with Adverse Events (AEs)|Change from baseline in hormone levels|Change from baseline in haemostasis parameters|Change from baseline in lipid parameters|Change from baseline in glucose levels|Change from baseline in bone turnover markers|Change from baseline in sex-hormone binding globulin (SHBG) levels|Pharmacokinetic effect of estetrol,https://ClinicalTrials.gov/show/NCT02718378
962,NCT02718261,Sup-Icu RENal (SIREN),Recruiting,No Results Available,Critical Illness|Acute Kidney Injury|End-stage Renal Disease,Drug: Pantoprazole|Drug: Saline 0.9% (matching placebo),"University Hospital Inselspital, Berne|SUP-ICU Principle investigator: Dr. M. Krag, Rigshospitalet, Copenhagen, Denmark|SUP-ICU Sponsor: Dr. M.H. Moller, Rigshospitalet, Copenhagen, Denmark",Both,Adult|Senior,Phase 4,3350,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double Blind (Subject, Caregiver, Investigator)",SIREN,"March 14, 2016",Feb-16,Dec-17,"March 22, 2016",Mar-16,No Study Results Posted,SIREN,Dec-17,"Total number of patients with clinically important gastrointestinal (GI)-bleeding episodes undergoing RRT therapy within the first 3 days following ICU admission (""RRT group"") vs. in patients without need for RRT during ICU stay (""control group"").|Total number of ICU patients with clinically important GI-bleeding episodes in ""ESRD"" vs. ""RRT group"" vs. RRT at any time during ICU stay vs. ""control group"" incl. analysis of verum/ placebo subgroups.|Number of patients receiving interventions to stop GI-bleeding in ""RRT group"", ""ESRD group"", ""RRT at any time on the ICU group"", and ""control group"": incl. analysis of verum/ placebo subgroups.|Number of GI bleeding events in ""RRT group"", ""ESRD group"", ""RRT at any time on the ICU group"", and ""control group"": incl. analysis of verum/ placebo subgroups.|Number of units of red blood cells (RBC) transfused on ICU in ""RRT group"", ""ESRD group"", ""RRT at any time on the ICU"" and ""control group"" incl. assessment of verum/ placebo subgroups.|Number of units of RBC transfused per day on ICU in ""RRT group"", ""ESRD group"", ""RRT at any time on the ICU"" and ""control group"" incl. assessment of verum/ placebo subgroups.|Number of onset of pneumonia during ICU stay in ""RRT group"" vs. ""ESRD group"" vs. ""RRT at any time on the ICU"" vs. ""control group"" incl. analysis of verum/ placebo subgroups|Days on treatment of Clostridium difficile enteritis in ""RRT group"" vs. ""ESRD group"" vs. ""RRT at any time on the ICU"" vs. ""control group"" incl. analysis of verum/ placebo subgroups|ICU length of stay in ""RRT group"" vs. ""ESRD group"" vs. ""RRT at any time on the ICU"" vs. ""control group"" incl. analysis of verum/placebo subgroups|90-day/360-day/ ICU mortality rate in ""RRT group"" vs. ""ESRD group"" vs. ""RRT at any time on the ICU"" vs. ""control group"" incl. analysis of verum/ placebo subgroups.",https://ClinicalTrials.gov/show/NCT02718261
